Date/Time,Date/Time,No.1,No.2
Date/Time,Date/Time,HOBO OFFICE Ch.1,HOBO OFFICE Ch.2
,,°C,°C
9/7/2024 16:47,45542.69995,32.4,36.6
9/7/2024 16:48,45542.70065,33.5,44.5
9/7/2024 16:49,45542.70134,36,58
9/7/2024 16:50,45542.70204,40.5,69.1
9/7/2024 16:51,45542.70273,45,74.2
9/7/2024 16:52,45542.70343,48.7,76.3
9/7/2024 16:53,45542.70412,51.3,77.3
9/7/2024 16:54,45542.70481,53.2,78
9/7/2024 16:55,45542.70551,55.1,77.1
9/7/2024 16:56,45542.7062,56.8,76.5
9/7/2024 16:57,45542.7069,58.2,76.2
9/7/2024 16:58,45542.70759,59.1,76.5
9/7/2024 16:59,45542.70829,59.9,76.3
9/7/2024 17:00,45542.70898,61,75.8
9/7/2024 17:01,45542.70968,61.7,75.2
9/7/2024 17:02,45542.71037,62.3,74.7
9/7/2024 17:03,45542.71106,62.7,74.3
9/7/2024 17:04,45542.71176,63.1,74.2
9/7/2024 17:05,45542.71245,63.6,74
9/7/2024 17:06,45542.71315,64.1,72.3
9/7/2024 17:07,45542.71384,64.1,71.1
9/7/2024 17:08,45542.71454,64.1,70.6
9/7/2024 17:09,45542.71523,64.2,70.4
9/7/2024 17:10,45542.71593,64.4,70.3
9/7/2024 17:11,45542.71662,64.5,68.3
9/7/2024 17:12,45542.71731,64.3,66.8
9/7/2024 17:13,45542.71801,64,65.8
9/7/2024 17:14,45542.7187,63.7,65.2
9/7/2024 17:15,45542.7194,63.5,64.9
9/7/2024 17:16,45542.72009,63.3,63.9
9/7/2024 17:17,45542.72079,63,62.1
9/7/2024 17:18,45542.72148,62.4,61.1
9/7/2024 17:19,45542.72218,62.1,60.4
9/7/2024 17:20,45542.72287,61.7,60.1
9/7/2024 17:21,45542.72356,61.4,59.6
9/7/2024 17:22,45542.72426,60.8,55.5
9/7/2024 17:23,45542.72495,59.9,53.2
9/7/2024 17:24,45542.72565,58.9,51.6
9/7/2024 17:25,45542.72634,58.1,50.7
9/7/2024 17:26,45542.72704,57.4,50.3
9/7/2024 17:27,45542.72773,56.7,49.7
9/7/2024 17:28,45542.72843,56,49.7
9/7/2024 17:29,45542.72912,55.5,49.6
9/7/2024 17:30,45542.72981,55.1,49.6
9/7/2024 17:31,45542.73051,54.8,49.4
9/7/2024 17:32,45542.7312,54.5,49.3
9/7/2024 17:33,45542.7319,54.1,45.5
9/7/2024 17:34,45542.73259,53.5,42.4
9/7/2024 17:35,45542.73329,52.8,41.6
9/7/2024 17:36,45542.73398,52.2,41.1
9/7/2024 17:37,45542.73468,51.6,40.4
9/7/2024 17:38,45542.73537,50.9,39.6
9/7/2024 17:39,45542.73606,50.2,38.6
9/7/2024 17:40,45542.73676,49,37.9
9/7/2024 17:41,45542.73745,47.8,37.8
